playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Armastor,6571,'-Ka Bar- Eskabar',SV,[Private 1135]          ,545,104,-1583.315 79.46378 -1483.997,358.7837 281.2838 358.9838,True,False,False,4/20/2020 3:44:08 AM,1004258,'dmytro.cheva',76561198412322587,4/20/2020 3:46:01 AM,1006522,
Armastor,6571,'-Ka Bar- Eskabar',SV,[Private 1135]          ,499,106,-1593.178 79.49198 -1475.692,0.06814567 83.21204 0.228976,True,False,False,4/20/2020 4:00:43 AM,1024095,'dmytro.cheva',76561198412322587,4/20/2020 4:00:43 AM,1024095,
Armastor,6571,'-Ka Bar- Eskabar',SV,[Private 1135]          ,507,114,-1552.231 76.94044 -1522.543,0.8371287 249.6466 1.19304,True,True,False,4/20/2020 4:35:09 AM,1065359,'dmytro.cheva',76561198412322587,4/20/2020 4:35:10 AM,1065360,
Armastor,6571,'-Ka Bar- Eskabar',SV,[Private 1135]          ,507,114,-1350.55 1101.84 -1467.628,287.3452 76.73709 348.7823,True,True,False,4/20/2020 4:40:26 AM,1071634,'dmytro.cheva',76561198412322587,4/20/2020 4:40:26 AM,1071634,
Armastor Orbit,6571,'-Ka Bar- Eskabar',SV,[Private 1135]          ,507,114,-6173.808 296.917 -4092.718,323.7335 147.1235 278.9572,True,True,False,4/20/2020 4:41:05 AM,1072393,'dmytro.cheva',76561198412322587,4/20/2020 4:41:05 AM,1072393,
Armastor Orbit,6571,'-Ka Bar- Eskabar',SV,[Private 1135]          ,507,114,-5752.873 868.3634 -4746.35,323.5458 147.0822 278.9976,True,True,False,4/20/2020 4:41:16 AM,1072558,'dmytro.cheva',76561198412322587,4/20/2020 4:41:16 AM,1072558,
Senekei Omega Station,6571,'-Ka Bar- Eskabar',SV,[Private 1135]          ,507,114,-2778.842 -3952.752 7970.654,351.8597 227.6861 178.1973,True,True,False,4/20/2020 4:50:03 AM,1076965,'dmytro.cheva',76561198412322587,4/20/2020 4:50:03 AM,1076965,
Zethir Orbit,6571,'-Ka Bar- Eskabar',SV,[Private 1135]          ,507,114,4347.722 -7560.417 7934.647,62.89755 288.3193 26.84576,True,True,False,4/20/2020 4:51:02 AM,1078138,'dmytro.cheva',76561198412322587,4/20/2020 4:51:02 AM,1078138,
Zethir Moon,6571,'-Ka Bar- Eskabar',SV,[Private 1135]          ,507,114,284.0778 138.4949 684.3882,3.504032 313.1387 358.847,True,True,False,4/20/2020 5:01:11 AM,1090145,'dmytro.cheva',76561198412322587,4/20/2020 5:01:11 AM,1090145,
Zethir Moon,6571,'-Ka Bar- Eskabar',SV,[Private 1135]          ,507,114,284.0318 138.5116 684.3752,3.060161 313.1522 358.0649,True,True,False,4/20/2020 5:01:58 AM,1091023,'dmytro.cheva',76561198412322587,4/20/2020 5:01:58 AM,1091023,
Zethir Moon,6571,'-Ka Bar- Eskabar',SV,[Private 1135]          ,507,114,326.8436 1102.154 757.8578,272.7814 79.01236 230.2212,True,True,False,4/20/2020 5:22:45 AM,1092150,'dmytro.cheva',76561198412322587,4/20/2020 5:22:45 AM,1092150,
Zethir Orbit,6571,'-Ka Bar- Eskabar',SV,[Private 1135]          ,507,114,401.8297 -1552.698 1435.984,29.33111 243.6761 109.9784,True,True,False,4/20/2020 5:24:03 AM,1093710,'dmytro.cheva',76561198412322587,4/20/2020 5:24:03 AM,1093710,
Zethir,6571,'-Ka Bar- Eskabar',SV,[Private 1135]          ,507,114,-6986.338 1101.268 -1903.08,280.1572 285.1202 107.0587,True,True,False,4/20/2020 5:24:15 AM,1093946,'dmytro.cheva',76561198412322587,4/20/2020 5:24:15 AM,1093946,
Zethir Orbit,6571,'-Ka Bar- Eskabar',SV,[Private 1135]          ,507,114,859.5609 -2585.631 2407.77,8.908788 342.6833 117.062,True,True,False,4/20/2020 5:24:40 AM,1094444,'dmytro.cheva',76561198412322587,4/20/2020 5:24:40 AM,1094444,
Zethir Orbit,6571,'Eskabar',SV,[Private 1135]          ,507,114,129.2685 -1120.485 1833.266,325.1943 180.2173 272.6323,True,True,False,4/20/2020 5:33:09 AM,1104533,'dmytro.cheva',76561198412322587,4/20/2020 5:33:09 AM,1104533,
Zethir,6571,'Eskabar',SV,[Private 1135]          ,507,114,2400.271 104.399 -43.53339,358.8895 183.6641 9.105686,True,True,False,4/20/2020 5:35:26 AM,1107271,'dmytro.cheva',76561198412322587,4/20/2020 5:35:26 AM,1107272,
